Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2020,"9         ",Male,15,Right-Handed,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"11        ",Male,69,Ambidextrous,183,29,170,2,Bicycle,13,0.3,38,Golf,1000,1000,1000,1000,1000,1000,29,"Same length",30,32,"Ring finger",March,Winter,No,No,Pizza/Pasta,Tea,History,7.5,8.5,5,"Yes - broadband connection","Text messaging",10,20,3,0,5,5,4,10,20,1,20,7,0,0,"Very little","Graduate degree",Other,"Freeze time",Happy,"Sports person",Environment
USA,CA,2020,"12        ",Female,17,Ambidextrous,62,15,157,2,Car,20,60,60,Other,1000,700,900,900,0,2,15,"Same length",70,70,"Same length",June,Summer,Yes,No,"No favorite",Water,Art,8,6,6,"Yes - other","Text messaging",20,"24 ","3 ","0 ","6 ","9 ",9,"8 ","6 ","4 ",5,"8 ","8 ",7,"Very little","Graduate degree","Rap/Hip hop",Invisibility,Healthy,"Coach or club leader","Education/Youth development"
USA,CA,2020,"11        ",Male,16,Right-Handed,171,29,84,2,Bus,70,.3,43,Soccer,900,800,800,900,1000,1000,29,"Same length",8,7,"Index finger",April,Spring,No,No,Desserts,Water,"Mathematics and statistics",7,9,4,"Yes - other","In person",3,5,12,2,16,4,0,45,20,4,24,0,0,7,"A lot","Graduate degree",Other,"Freeze time",Healthy,Other,Other
USA,CA,2020,"9         ",Male,15,Right-Handed,,,,2,Car,10,0.503,40,Soccer,1000,497,364,802,5,1000,,"Left foot",3,2.12,"Same length",December,Summer,No,No,Poultry,Water,Music,6,6,2,"Yes - other","Internet chat or instant messaging",100,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"9         ",Male,14,Right-Handed,176,26,233,1,Bus,60,".324 "," 58 ","Football (American)",508,503,503,497,508," 508",26,"Same length",80,80,"Index finger",November,Summer,No,No,Other,Water,"Physical education",5,5,4,"Yes - other","Text messaging",20,18,30,15,30,30,30,30,25,25,25,25,25,26,Some,"Graduate degree","Rap/Hip hop","Freeze time",Famous,Relative,"Wildlife, animals"
USA,CA,2020,"9         ",Female,14,Right-Handed,158,22,55,1,"Rail (Train/Tram/Subway)","10 "," 0.50","46 ",Basketball,1000,615,48,540,400,1000,25,,60,70,"Ring finger",May,Summer,No,No,"No favorite",Juice,"Physical education",8,6,8,"Yes - dial-up connection","Cell phone",30,20,8,2,1,3,3,.2,24,24,3,4,0,0,Some,"Graduate degree",Other,"Super strength",Rich,"Coach or club leader",Health
USA,CA,2020,"12        ",,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"7         ",Female,12,Right-Handed,5'4,"8 1/2",164cm,3,Car,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"11        ",Female,16,Right-Handed,161,24,169,1,Car,22,0.35,42,Walking/Hiking,1000,1000,1000,1000,1000,999,24,"Same length",90,88,"Index finger",February,Winter,No,No,Vegetables,Water,Science,7.5,8,4,"Yes - broadband connection","In person",70,80,15,3,10,8,3,.05,.5,10,25,0.05,0,2,Some,"Graduate degree",Jazz,"Freeze time",Healthy,Teacher,Environment
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"12        ",Male,17,Left-Handed,"175 ",27,164,2,Car,25,0.264,46,Soccer,500,500,500,600,400,500,27,"Same length",76,76,"Same length",July,Summer,Yes,No,Meat,Water,Science,7,10,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",30,45,10,7,5,8,5,12,5,2,2,0,0,3,"A lot","Some college",Other,Invisibility,Rich,Actor,Other
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"11        ",Male,17,Right-Handed,155.7,30.48,176,1.5,Other,8,.331,44,Other,1000,1000,800,300,100,100,30.48,"Same length",100,89,"Index finger",July,Winter,No,Yes,Fruit,Water,"Mathematics and statistics",9,11,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",10000,90000,tomuc,tmuch,tomuc,tomuc,tomuc,tomuc,tomuc,tomuc,tomuc,tomuc,nada,nada,"A lot","Undergraduate degree","Rock and roll",Telepathy,Happy,Relative,Environment
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"12        ",Male,17,Right-Handed,164.5,24.13,156,1,Car,15,.327,39,Soccer,500,500,500,500,500,1000,24,"Right foot",80,100,"Ring finger",March,Summer,Yes,No,Desserts,Water,Other,7,10,4,"Yes - other","Text messaging",69,69,5,2,1,3,5,5,5,5,5,5,0,2,Some,"Graduate degree","Rap/Hip hop",Fly,Happy,"Business person",Health
USA,CA,2020,"11        ",Male,16,Right-Handed,170.2,23,181,2,Bus,"90 ",.303,47,Soccer,1000,829,1000,733,257,551,23,"Same length",105,90,"Same length",February,Spring,No,No,Seafood,Water,"Mathematics and statistics",7,6,4,"Yes - other","Text messaging",100,101,0,0,0,0,0,0,0,0,0,0,0,0,"Very little","Graduate degree","Rap/Hip hop",Invisibility,Happy,Relative,"Wildlife, animals"
USA,CA,2020,"12        ",Female,17,Right-Handed,162,26,164,2,Car,10,0.799,44,None,800,600,700,900,400,1000,26,"Same length",65,69,"Ring finger",October,Summer,No,No,Meat,Juice,Other,9,11,6,"No internet connection","In person",29,32,4.5,0,2,5,0,0,15,3,15,0,6,0,"A lot","Some college",Pop,Telepathy,Rich,Actor,"Wildlife, animals"
USA,CA,2020,"9         ",Male,14,Right-Handed,166,22,160,3,Bus,12,0.361,37,Tennis,1,2,6,5,4,3,23,"Left foot",80,82,"Ring finger",August,Fall,Yes,No,Pizza/Pasta,Tea,Science,7,10,4,"Yes - broadband connection","Internet chat or instant messaging",30,40,5,1,1,0,0,4,6,6,36,26,14,0,"Very little","Undergraduate degree","Heavy metal",Telepathy,Rich,Other,Environment
USA,CA,2020,"12        ",Male,18,Right-Handed,5’8,"9 1/2",173cm,1,Car,10,0,0,Skateboarding/Rollerblading,1000,900,900,600,200,450,"9 1/2","Same length",6,5,"Same length",February,Summer,No,No,Pizza/Pasta,"Soft drink (caffeinated)",Music,6,9,6,"Yes - other","Cell phone",10,6,10,10,5,10,7,14,19,2,1,5,20,7,"A lot","Some college","Rock and roll","Freeze time",Happy,"Musician or singer","Education/Youth development"
USA,CA,2020,"9         ",Female,14,Right-Handed,,,,2,Bus,"50 ",0.469,54,Dancing,800,800,1000,1000,500,300,,,,,,March,Spring,No,No,"No favorite",Water,Other,7,9,5,"Yes - dial-up connection",Telephone,200,150,0,"3 hou",,,,,,,,,,,,,,,,,
USA,CA,2020,"7         ",Male,13,Right-Handed,158,23.5,155,1,Car,25,.3,51,"Football (American)",300,100,500,300,800,950,24.5,"Left foot",94,101,"Ring finger",January,Fall,Yes,No,Meat,Water,"Mathematics and statistics",6.5,5,5,"Yes - other","Text messaging",50,51,43.5,1,3,15,30,10,15,10,2,5,0,7,"Very little","Undergraduate degree","Rap/Hip hop",Fly,Healthy,"Sports person","Wildlife, animals"
USA,CA,2020,"12        ",Female,17,Right-Handed,5’2,"24 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"7         ",Female,13,Right-Handed,5'4,40,60,2,Car,5,0.542,56,Dancing,455,1000,492,1000,172,497,40,"Same length",30,20,"Index finger",October,Winter,No,No,Desserts,Water,History,8,10,5,"Yes - other","Text messaging",0,0,0,1,1,2,1,1,1,1,1,3,1,1,"A lot","Graduate degree",Other,Telepathy,Healthy,Friend,Health
USA,CA,2020,"12        ",Male,16,Right-Handed,173,25,178,1,Car,20,0.418,41,Walking/Hiking,513,519,668,834,503,497,,,9.1,7.3,"Index finger",May,Winter,No,No,Pizza/Pasta,"Sports drink",History,6,10,4,"Yes - other","Text messaging",20,30,3,0,5,6,3,5,5,2,6,4,1,9,"A lot",Other,"Punk rock",Invisibility,Rich,Other,Health
USA,CA,2020,"12        ",Female,18,Right-Handed,4'11,23.5,153,2,Walk,10,2.564,35,Walking/Hiking,920,856,947,733,155,150,23.5,"Same length",65,77,"Ring finger",December,Winter,No,No,"No favorite",Water,English,8,10,7,"No internet connection","Text messaging",54,57,0,2,4,2,0,0,3,2,3,0,4,2,"A lot","Some college",Other,Telepathy,Happy,Other,Health
USA,CA,2020,"11        ",Male,16,Right-Handed,180,28,170,2,Bus,30,.356,29,Soccer,882,900,500,0,1000,1000,28,"Same length",80,80,"Index finger",February,Winter,No,No,Meat,Water,"Computers and technology",7,10,6,"Yes - broadband connection","Text messaging",50,90,2,10,0,24,40,4,1,20,2,5,0,0,None,"Graduate degree",Other,Invisibility,Rich,"Sports person",Other
USA,CA,2020,"7         ",Male,13,Right-Handed,,25,150,2,Car,6,.36,40,Skateboarding/Rollerblading,1000,1000,1000,900,500,500,25,"Same length",70,70,"Same length",October,Summer,No,No,Poultry,Water,Science,8,4,6,"Yes - other","Myspace, Facebook, other social networking sites, or blog",0,0,35,1,0,10,5,0,20,1,5,10,0,8,Some,"High school","Punk rock",Telepathy,Happy,Relative,"Wildlife, animals"
USA,CA,2020,"12        ",Female,17,Right-Handed,"5'6""",9,"70cm ",2,Car,25min,0.72,54,Soccer,100,300,800,900,0,1000,25,"Left foot",7,9,"Ring finger",February,Summer,No,No,Pizza/Pasta,Water,Art,"7 ",5,,,"Myspace, Facebook, other social networking sites, or blog",9,4,2,2,2,0,0,0,24/7,5,0,1,24/7,2,Some,"High school","Rap/Hip hop",Invisibility,Healthy,"Business person",Health
USA,CA,2020,"9         ",Male,15,Right-Handed,169,25.4,,2,Car,60,,,Soccer,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"9         ",Male,14,Right-Handed,80,,,2,Bus,26,0.39,53,Cycling,900,750,560,890,500,600,,,,,,May,Winter,Yes,No,Meat,Water,History,8,7,5,"Yes - broadband connection","Text messaging",100,200,6,2,4,9,8,6,4,4,3,1,1,6,"Very little","Graduate degree","Rap/Hip hop",Fly,Happy,"Community leader or elder",Environment
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"7         ",Female,12,Right-Handed,5'6,"7 1/2",168cm,2,Walk,"5 ",0.492,30,Swimming,1000,1000,1000,1000,1000,1000,"7 1/2","Same length",6,8,"Ring finger",April,Spring,No,No,Pizza/Pasta,Water,Art,9,11,9,"Yes - other",,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"11        ",Male,16,Right-Handed,175.3,30.48,181,2,Bus,80,.358,41,None,481,497,770,1000,160,1000,30.48,"Same length",90,90,"Same length",September,Fall,No,No,"No favorite",Water,"Mathematics and statistics",8,12,2,"Yes - broadband connection","Internet chat or instant messaging",7,6,8,10,1,2,1,50,8,5,60,3,0,0,Some,"Some college","Rap/Hip hop",Fly,Rich,Relative,"Wildlife, animals"
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"11        ",Male,16,Right-Handed,170,23,171,2,Bus,70,.392,39,Soccer,727,679,866,834,797,759,23,"Same length",70,80,"Same length",September,Summer,No,No,Other,Juice,Science,7,4,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,0,36,0,4,10,14,8,18,5,50,5,0,10,Some,"Graduate degree",Other,"Freeze time",Happy,Relative,Environment
USA,CA,2020,"11        ",Male,16,Right-Handed,67,26,160,3,Car,20,.399,56,Baseball/Softball,1000,1000,1000,1000,1000,1000,28,"Left foot",8,7,"Index finger",June,Summer,No,No,Other,Water,"Mathematics and statistics",8,7,4,"Yes - other","Text messaging",4,4,8,2,60,3,2,4,2,6,2,3,0,3,Some,"Graduate degree",Other,Fly,Healthy,Friend,"Education/Youth development"
USA,CA,2020,"7         ",Female,13,Right-Handed,5'4,26,,2,Car,5,4.201,82,Other,,,,,,,26,"Same length",8,9,"Ring finger",September,Winter,No,No,Meat,"Powdered drink",Science,7,5,5,,"Text messaging","idk ",idk,5,1,0,6,0,0,9,,,,,,,"Graduate degree","Rap/Hip hop",,Rich,Other,
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"11        ",Male,16,Right-Handed,180.6,27.2,178.5,2,Bicycle,100,0.301,42,Basketball,680,550,800,850,600,750,27.2,"Same length",80,80,"Same length",April,Spring,No,No,Desserts,Water,"Computers and technology",9,11,5,"Yes - broadband connection","In person",0,0,20,0,4.5,3,2,20,1,0,2,0,0,6,"A lot","Graduate degree",Classical,"Freeze time",Happy,Politician,Environment
USA,CA,2020,"11        ",Male,16,Right-Handed,178,24,168,1,Walk,5,0.449,15,Soccer,1000,1000,1000,200,700,800,24,"Same length",83,84,"Ring finger",February,Summer,No,No,"Rice/Noodle dishes","Soft drink (caffeinated)","Computers and technology",6,10,5,"Yes - broadband connection","Internet chat or instant messaging",0,0,35,.5,7,2,5,15,15,.5,50,1,0,3,Some,"Graduate degree",Other,"Freeze time",Happy,Other,"Wildlife, animals"
USA,CA,2020,"9         ",Male,15,Right-Handed,169,26,175,2,Car,60,0.367,43,Soccer,337,144,251,102,5,412,27,"Left foot",89,90,,January,Spring,No,No,Meat,Juice,English,6,7,5,"Yes - broadband connection","In person",0,0,3,1,3,5,2,3,4,2,3,2,0,2,"Very little","Graduate degree",Other,"Freeze time",Happy,Other,"Wildlife, animals"
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"9         ",Female,14,Right-Handed,152.4,23,123,2,Car,"20 ",.3,46,Athletics,500,500,700,650,300,1000,23,"Right foot",70,71,"Same length",May,Spring,No,No,Other,Water,"Mathematics and statistics",7,9,3,"Yes - broadband connection",Other,300,450,2,1,1,2,2,1,3,2,1,0,0,0,Some,Other,"Rap/Hip hop",Invisibility,Happy,Other,"Wildlife, animals"
USA,CA,2020,"12        ",Female,17,Right-Handed,161.5,21.59,157,1,Car,15,0.482,60,Basketball,5,1000,1000,100,6,999,21.59,"Same length",7,8,"Ring finger",June,Summer,No,No,Desserts,Juice,Art,8,10,7,"Yes - other","Text messaging",30,40,5,1,3,10,5,0,9,5,5,5,0,7,Some,"Graduate degree","Rhythm and blues (R&B)",Fly,Happy,Relative,"Education/Youth development"
USA,CA,2020,"7         ",Female,12,Right-Handed,4.11,24cm,130,2,Walk,30,2.012,74,Soccer,1000,503,1000,652,5,5,23,"Right foot",70,60,"Index finger",September,Spring,Yes,No,Seafood,Water,"Physical education",8,6,4,"Yes - broadband connection","In person",202,102,5,2,1,7,3,0,24,1,1,1,0,0,"Very little","Some college","Rap/Hip hop",Telepathy,Famous,Relative,"Wildlife, animals"
USA,CA,2020,"12        ",Male,18,Right-Handed,176,53,174,2,Walk,10,21,34,Other,1000,1000,748,603,931,1000,29,"Right foot",8,7,"Ring finger",January,Winter,No,No,Pizza/Pasta,Coffee,History,4,7,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",4,12,5,1,3,5,2,6,5,1,2,1,8,7,Some,"Graduate degree","Heavy metal",Invisibility,Happy,"Musician or singer","Education/Youth development"
USA,CA,2020,"9         ",Male,15,Right-Handed,168cm,24,170,2,Bus,30,0.394,65,Soccer,90,90,90,90,60,100,25,"Left foot",80,90,"Index finger",December,Summer,No,No,Pizza/Pasta,Water,"Mathematics and statistics",7.5,8.5,4,"Yes - broadband connection","Text messaging",30,120,6,1,1,1,2,1,1,3,4,4,0,1,"Very little","Graduate degree","Rap/Hip hop",Fly,Rich,"Musician or singer","International aid"
USA,CA,2020,"12        ",Male,17,Ambidextrous,9,9,180,1,Walk,5,5,10,Basketball,600,800,1000,1000,800,1000,9,"Same length",5,5,"Ring finger",February,Summer,Yes,No,Pizza/Pasta,Water,"Physical education",7,8,4,"Yes - broadband connection","Text messaging",10,10,3,3,2,1,1,3,3,3,3,3,3,3,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Happy,"Musician or singer",Health
USA,CA,2020,"7         ",Male,14,Right-Handed,"5,4","9,5","1y 1f",2,Bus,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"12        ",Female,25,Right-Handed,15000,21,151,2,Car,15,53,0.758,Dancing,100,100,100,100,0,0,19,"Right foot",60,70,"Ring finger",September,Fall,Yes,No,Fruit,Juice,"Mathematics and statistics",8,6,3,"Yes - dial-up connection","Text messaging",0,5,0,20,5,8,2,0,40,3,30,14,0,25,"Very little","High school",Other,"Super strength",Healthy,"Musician or singer",Other
USA,CA,2020,"9         ",Female,14,Left-Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"9         ",Female,14,Right-Handed,5/3,,,1,Car,10,,,Bowling,7,2,10,7,5,9,8,"Same length",3,"2 1/2","Index finger",June,Summer,No,No,Poultry,Water,"Social studies",9,13,3,"Yes - other","Cell phone",11,13,40,40,30,12,0,0,14,14,24,20,10,0,None,"Graduate degree","Rap/Hip hop","Freeze time",Healthy,"Doctor or nurse","International aid"
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"7         ",Female,13,Right-Handed,"4""11",idk,idk,2,Bus,13,0.573,43,Bowling,545,406,1000,1000,604,1000,idk,"Same length",idk,idk,"Same length",July,Fall,No,No,Other,Water,"Physical education",7,5,7,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"12        ",Male,17,Right-Handed,175,24,168,2,Car,25,0.346,60,Soccer,1000,1000,1000,100,1000,1000,24,"Same length",8,9,"Ring finger",June,Summer,No,No,Pizza/Pasta,Juice,Art,8,11,5,"Yes - broadband connection",E-mail,1,1,10,0,0,100,11,5,10,0,10,100,0,10,None,"High school","Rap/Hip hop","Freeze time",Rich,"Sports person",Other
USA,CA,2020,"9         ",Male,14,Right-Handed,172,30,219,2,"Rail (Train/Tram/Subway)",35,.331,42,Gymnastics,700,700,1000,1000,100,500,"30 ","Same length","80 ",75,,June,Summer,Yes,No,Meat,Water,Other,7,9,4,"Yes - broadband connection","Text messaging",400,400,30,1,0,5,30,0,15,1,0,0,0,0,"A lot","Undergraduate degree","Rap/Hip hop","Super strength",Happy,"Sports person",Health
USA,CA,2020,"7         ",Female,14,Right-Handed,161,274,16,2,Car,15,2.495,47,Baseball/Softball,695,529,781,412,802,10002,26,"Right foot",76.2,51.2,"Index finger",October,Summer,No,No,"Rice/Noodle dishes",Juice,History,,,,,,,,,,,,,,,,,,,,,,,,Healthy,"Business person",
USA,CA,2020,"12        ",Male,17,Right-Handed,172.7,26,172.7,2,Car,15,.312,45,Basketball,1000,1000,1000,1000,1000,1000,26,"Same length",7,8,"Ring finger",March,Spring,No,No,Meat,Juice,English,5,9,4,"Yes - broadband connection","In person",17,17,8,0,3,4,1,0,2,2,2,4,0,1,Some,"Graduate degree",Jazz,Fly,Happy,"Musician or singer",Environment
USA,CA,2020,"12        ",Female,18,Right-Handed,148,20.2,140.1,2,Car,19,0.812,63,Basketball,	727,620,904,1000,642,866,20.2,"Same length",7,8,"Ring finger",October,Spring,No,No,Pizza/Pasta,Water,"Mathematics and statistics",7,10,5,"Yes - broadband connection","In person",140,145,7,2,1,6,1,0,0,6,3,2,0,2,"A lot","Undergraduate degree","Rap/Hip hop",Invisibility,Healthy,Relative,"International aid"
USA,CA,2020,"12        ",Male,18,Right-Handed,179,30,178,2,Car,10,0.7,22,Other,1000,1000,1000,1000,0,1000,30,"Right foot",7,7,"Index finger",September,Fall,Yes,No,Other,"Soft drink (caffeinated)",History,7,3,5,"No internet connection","In person",10,20,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"9         ",Male,14,Right-Handed,,,,2,Bus,40min,400,10,Soccer,1000,100,1000,1000,460,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"12        ",Male,17,Right-Handed,192,30,189,2,Walk,10,0.377,47,"Martial Arts",1000,300,600,1000,100,800,30,"Same length",90mm,90mm,"Same length",May,Summer,Yes,No,Pizza/Pasta,Water,"Computers and technology",5-6,7-8,2,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",99999,99999,2-3,1,.5,0,2,6,5,5,5,0,7-8,12,"A lot","Graduate degree","Rhythm and blues (R&B)",Telepathy,Rich,Friend,"Arts, culture, sports"
USA,CA,2020,"11        ",Male,16,Ambidextrous,168,26,170,2,Bus,90,0.288,48,Running/Jogging,475,600,200,750,1000,1000,26,"Same length",75,78,"Ring finger",July,Summer,No,No,Meat,Juice,"Computers and technology",6,7,5,"Yes - broadband connection","In person",0,0,3,0,0,4,0,6,0,0,5,1,0,2,"Very little","Graduate degree",Other,"Freeze time",Happy,"Business person","Wildlife, animals"
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"12        ",Male,17,Right-Handed,187,33,200,2,Car,15,0.356,43,Basketball,1000,870,928,733,599,600,33,"Right foot",,,"Ring finger",May,Winter,Yes,No,Meat,Water,Art,6,6,4,"Yes - dial-up connection","Internet chat or instant messaging",98,100,4,4,2,4,3,1,2,1,1,0,2,2,Some,"Graduate degree","Rap/Hip hop","Freeze time",Happy,"Sports person","Education/Youth development"
USA,CA,2020,"7         ",Female,12,Right-Handed,"149 ",21.5,idk,1,Walk,15,0.573,55,Basketball,1000,800,990,900,100,1000,21.5,"Same length",6.6,6.9,"Ring finger",May,Winter,No,No,Pizza/Pasta,Water,"Computers and technology",8,10,7,"Yes - broadband connection","Text messaging",,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"11        ",Male,16,Right-Handed,167,25,120,3,Car,7,0.558,57,Soccer,1000,1000,1000,1000,1000,1000,26,"Left foot",6.5,7,"Ring finger",July,Summer,No,No,"No favorite",Water,"Mathematics and statistics",6,6,6,"Yes - broadband connection","Text messaging",69,69,2,7,1,2,3,0,1,7,7,1,7,7,None,Other,Other,Telepathy,Happy,"Business person","International aid"
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"12        ",Female,18,Right-Handed,163,23,167,1,Bus,20,0.596,58,"Football (American)",1000,1000,1000,1000,27,21,,,6,7,"Ring finger",February,Summer,Yes,No,Poultry,Water,"Physical education",5,12,2,"Yes - dial-up connection","Myspace, Facebook, other social networking sites, or blog",0,0,72,5,2,0,0,8,3,0,0,0,0,1,Some,"High school","Rap/Hip hop",Invisibility,Happy,Actor,"Wildlife, animals"
USA,CA,2020,"11        ",Male,16,Ambidextrous,175.2,29,166,1,Car,20,.357,53,Walking/Hiking,1000,700,700,700,1000,1000,28,"Right foot",85,80,"Index finger",May,Winter,No,No,Breads/Sandwiches,Water,"Computers and technology",7,9,3,"Yes - other","Myspace, Facebook, other social networking sites, or blog",12,22,49,21,8,9,7,18,17,2,35,26,0,5,Some,"Graduate degree",Other,"Freeze time",Healthy,Actor,"Wildlife, animals"
USA,CA,2020,"12        ",Male,18,Right-Handed,148,"23 ",173,2,Car,5,0.417,40,Basketball,1000,1000,1000,1000,0,900,23,"Same length",4,3,"Index finger",August,Winter,No,No,Other,Water,Other,7,9,5,"Yes - broadband connection","Text messaging",3,3,8,0,3,7,2,1,8,1,1,9,4,0,Some,"High school","Rap/Hip hop","Freeze time",Healthy,Other,"Wildlife, animals"
USA,CA,2020,"11        ",Male,16,Right-Handed,172,26,68,2,Car,25,0.319,48,Baseball/Softball,1000,1000,1000,1000,500,1000,28,"Left foot",90,100,"Ring finger",February,Winter,No,No,Meat,"Soft drink (caffeinated)","Computers and technology",,10,4,"Yes - broadband connection","Text messaging",100,120,40,10,40,50,40,20,100,140,130,10,0,10,"A lot","Some college",Jazz,Telepathy,Rich,"Doctor or nurse",Health
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"9         ",Female,14,Right-Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
