Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2020,"12        ",Female,17,Right-Handed,154.5,23,161,1,Car,"7 min",0.747,53,Baseball/Softball,,,,,,,23.5,"Left foot",6,7,"Ring finger",March,Spring,Yes,No,Meat,Juice,English,8,6,3,"Yes - other",Telephone,6,13,8,24/7,7,4,10,0,8,24/7,5,7,16,0,Some,"Graduate degree","Rap/Hip hop",Telepathy,Healthy,Other,"Arts, culture, sports"
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"7         ",Female,13,Right-Handed,"4,11",idk,idk,idk,Walk,15min,"5 ",idk,None,,,,,,,idk,"Left foot",idk,idk,"Same length",March,Summer,No,No,"No favorite",Water,English,9hrs,idk,12,"Yes - other","In person",none,none,,,,,,,,,,,,,Some,"Graduate degree","Rap/Hip hop",Invisibility,Rich,Relative,"Education/Youth development"
USA,CA,2020,"7         ",Male,13,Right-Handed,5'7,6'7,86,2,Car,20,0.665,61,"Football (American)",100,100,100,100,100,100,5'6,"Same length",4'5,7'7,"Ring finger",June,Summer,No,No,Pizza/Pasta,Water,Science,9,9,6,"Yes - broadband connection",,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"7         ",Female,12,Right-Handed,142,27,148?,2,Car,10-12,0.402,43,Walking/Hiking,1000,1000,800,800,10,100,26,"Right foot",65,70,"Ring finger",March,Winter,No,No,Other,Water,Art,9,10-12,6,"Yes - other","Myspace, Facebook, other social networking sites, or blog",20-30,10-20,5,1,1-2,7-10,2,10,10,2,4,5,0,1,"Very little","Graduate degree","Rap/Hip hop","Freeze time",Healthy,Relative,"Wildlife, animals"
USA,CA,2020,"11        ",Female,16,Right-Handed,182,25,180,1,Car,8,0.32,47,Golf,500,200,100,200,500,700,25.5,"Left foot",90,93,"Ring finger",May,Summer,Yes,No,Seafood,Milk,Science,9,10,4,"Yes - broadband connection","Text messaging",20,10,5,2,5,3,1,6,7,2,2,2,0,2,"A lot","Graduate degree","Punk rock","Super strength",Rich,"Business person","Wildlife, animals"
USA,CA,2020,"7         ",Female,12,Right-Handed,4.11,24cm,130,2,Walk,30,2.012,74,Soccer,1000,503,1000,652,5,5,23,"Right foot",70,60,"Index finger",September,Spring,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"11        ",Male,16,Ambidextrous,"180 ",28,184,1,Car,20,.4,44,Basketball,1000,800,900,850,400,500,27.5,"Right foot",85,75,"Index finger",June,Summer,No,No,Pizza/Pasta,Milk,"Mathematics and statistics",9,10,4,"Yes - broadband connection","Cell phone",2,4,10,1,10,5,5,10,0,2,20,7,0,3,Some,"Graduate degree",Pop,Invisibility,Happy,"Sports person","International aid"
USA,CA,2020,"12        ",Male,21,Right-Handed,166cm,24cm,168cm,2,Bus,"30 ",,,Basketball,,,,,,,24cm,,72mm,70mm,"Ring finger",April,Winter,No,No,"Rice/Noodle dishes","Powdered drink",Art,8,4,3,"No internet connection","In person",5,3,5,2,1,8,2,1,2,1,1,1,1,3,"Very little","Some college","Rap/Hip hop",Invisibility,Healthy,Relative,Environment
USA,CA,2020,"9         ",Male,15,Right-Handed,,25cm,,1,Bus,60,0.394,40,Baseball/Softball,200,750,950,850,350,750,40cm,"Same length",8mm,8.5mm,"Ring finger",October,Summer,Yes,No,Other,Water,"Physical education",8,13,5,"Yes - other","Cell phone",6,25,75,6,4,85,55,45,35,0,35,95,0,54,"A lot","Some college","Rap/Hip hop",Fly,Rich,Other,Other
USA,CA,2020,"12        ",Female,17,Right-Handed,164,25,163,2,Car,10,0.741,55,Soccer,1000,1000,900,800,10,500,25,"Same length",7,7,"Same length",June,Spring,No,No,Meat,Tea,"Physical education",5,9,8,,,,,,,,,,,,,,,,,,,,,,,
